Size,Run,MergeTime,RadixTime,MergeSwaps,RadixSwaps,MergeIterations,RadixIterations
1000,1,2,1,4320,6000,21951,19059
1000,2,3,1,4282,6000,21951,19059
1000,3,0,1,4296,6000,21951,19059
1000,4,0,1,4328,6000,21951,19059
1000,5,0,0,4306,6000,21951,19059
10000,1,9,8,59159,60000,287231,190059
10000,2,7,8,59226,60000,287231,190059
10000,3,4,4,59112,60000,287231,190059
10000,4,3,4,59078,60000,287231,190059
10000,5,3,4,59118,60000,287231,190059
100000,1,54,34,759854,600000,3537855,1900059
100000,2,40,42,760132,600000,3537855,1900059
100000,3,34,19,759787,600000,3537855,1900059
100000,4,25,46,759643,600000,3537855,1900059
100000,5,24,18,759661,600000,3537855,1900059
500000,1,229,133,4390073,3000000,19951423,9500059
500000,2,143,194,4389520,3000000,19951423,9500059
500000,3,211,104,4389572,3000000,19951423,9500059
500000,4,118,60,4389026,3000000,19951423,9500059
500000,5,121,54,4389644,3000000,19951423,9500059
1000000,1,223,106,9279238,6000000,41902847,19000059
1000000,2,210,106,9279241,6000000,41902847,19000059
1000000,3,196,105,9278751,6000000,41902847,19000059
1000000,4,196,108,9277756,6000000,41902847,19000059
1000000,5,208,104,9279447,6000000,41902847,19000059
